A49426,Elgama-Elektronika
E4F14C,Private
A8B456,Cisco
2CA9F0,GUANGDONG
549B72,Ericsson
A047D7,Best
6899CD,Cisco
1040F3,Apple
586B14,Apple
BCB863,Apple
2C1CF6,Alien
6C2B59,Dell
44E66E,Apple
C0E862,Apple
F40616,Apple
0CFE5D,IEEE
3C8D20,Google
601D91,Motorola
D4C94B,Motorola
08351B,Shenzhen
AC1585,silergy
AC5093,Magna
70BBE9,Xiaomi
50A0A4,Nokia
00D02D,Resideo
806940,LEXAR
64F81C,Huawei
1098C3,Murata
9CC8FC,ARRIS
B07E11,Texas
10C753,Qingdao
F4951B,Hefei
6C3845,Fiberhome
2C6104,SHENZHEN
BC9325,Ningbo
D0B60A,Xingluo
049226,ASUSTek
E8ADA6,Sagemcom
0C1C19,LONGCONN
90E710,New
302952,Hillstone
E013B5,vivo
E0795E,Wuxi
00B1E3,Cisco
A41194,Lenovo
00CB00,Private
DCF401,Dell
0C4101,Ruichi
00B771,Cisco
E4B2FB,Apple
2CCA0C,WITHUS
84326F,GUANGZHOU
C89C13,Inspiremobile
8C85E6,Cleondris
807D14,HUAWEI
20283E,HUAWEI
A4FC77,Mega
4C569D,Apple
38539C,Apple
402619,Apple
6CE85C,Apple
049162,Microchip
F83880,Apple
2C79D7,Sagemcom
00B4F5,DongGuan
BC3F4E,Teleepoch
1838AE,CONSPIN
04CF8C,XIAOMI
0C7512,Shenzhen
7483C2,Ubiquiti
E063DA,Ubiquiti
50579C,Seiko
54278D,NXP
B0BE76,TP-LINK
4447CC,Hangzhou
4CD98F,Dell
B0AE25,Varikorea
4C1B86,Arcadyan
ECC40D,Nintendo
440049,Amazon
E86A64,LCFC(HeFei)
10A24E,GOLD3LINK
CCC5E5,Dell
6CC374,Texas
684749,Texas
F8D9B8,Open
7C696B,Atmosic
5CD20B,Yytek
70037E,Technicolor
D003DF,Samsung
C423A2,PT.
B4CB57,GUANGDONG
4C1265,ARRIS
00500C,e-Tek
485F99,Cloud
8834FE,Bosch
88F7BF,vivo
D87D7F,Sagemcom
00051A,3COM
08004E,3COM
00301E,3COM
005004,3COM
000103,3COM
58B568,SECURITAS
484AE9,Hewlett
846A66,Sumitomo
18D717,GUANGDONG
80B624,IVS
DCF505,AzureWave
CCF0FD,China
8489EC,IEEE
88108F,HUAWEI
F4631F,HUAWEI
A49B4F,HUAWEI
00073A,INVENTEL
00266C,INVENTEC
008CFA,INVENTEC
5CFB7C,Shenzhen
FC039F,Samsung
02C08C,3COM
0057C1,LG
7C240C,Telechips
00203D,Honeywell
004084,Honeywell
